,DealYear,DealMonth,Date,Area,Address,Rooms,Surface,Floor,Price,PPSQM,BuildYear
131,2010.0,8.0,30/8/2010,tel-aviv-area,דם המכבים 39,2,28,2,"1,000,000","35,714",1955
132,2010.0,8.0,30/8/2010,tel-aviv-area,דרך מנחם בגין 158,4,100,34,"2,200,000","22,000",2011
133,2010.0,8.0,30/8/2010,tel-aviv-area,דוליצקי 1,2.5,62,2,"1,750,000","28,225",1952
134,2010.0,8.0,29/8/2010,tel-aviv-area,אמסטרדם 26,2.5,61,1,"1,800,000","29,508",1960
135,2010.0,8.0,29/8/2010,tel-aviv-area,עמישב 58,,,,"1,065,000",,
136,2010.0,8.0,29/8/2010,tel-aviv-area,אבן גבירול 77,3.5,70,3,"1,540,000","22,000",1961
137,2010.0,8.0,29/8/2010,tel-aviv-area,דרך השלום 131,3,48,3,"1,065,000","22,187",1959
138,2010.0,8.0,29/8/2010,tel-aviv-area,דרך מנחם בגין 158,3,75,32,"1,892,000","25,226",2011
139,2010.0,8.0,29/8/2010,tel-aviv-area,אנטוקולסקי 1,3,97,3,"3,428,638","35,346",2011
140,2010.0,8.0,29/8/2010,tel-aviv-area,אבן גבירול 85,,,,"1,540,000",,
141,2010.0,8.0,27/8/2010,tel-aviv-area,בילויה מעוז 6,4,100,3,"2,550,000","25,500",2005
142,2010.0,8.0,27/8/2010,tel-aviv-area,דיזנגוף 239,2,47,1,"1,550,000","32,978",1942
143,2010.0,8.0,27/8/2010,tel-aviv-area,מהרל 1,5,87,3,"4,400,000","50,574",1970
144,2010.0,8.0,26/8/2010,tel-aviv-area,אלוני ניסים 1,5,137,2,"2,670,000","19,489",2009
145,2010.0,8.0,26/8/2010,tel-aviv-area,קליי 13,,,,"2,100,000",,
146,2010.0,8.0,26/8/2010,tel-aviv-area,"אצ""ל 23",2,47,,"380,000","8,085",1950
147,2010.0,8.0,26/8/2010,tel-aviv-area,אלוני ניסים  1,,,,"2,670,000",,
148,2010.0,8.0,26/8/2010,tel-aviv-area,דרך מנחם בגין 158,3,100,11,"1,540,000","15,400",2011
149,2010.0,8.0,26/8/2010,tel-aviv-area,דרך נמיר מרדכי 2,4,87,3,"2,300,000","26,436",1958
150,2010.0,7.0,31/7/2010,tel-aviv-area,סלע יעקב 1,3,80,2,"1,150,000","14,375",1970
151,2010.0,7.0,30/7/2010,tel-aviv-area,פלורנטין 2,1.5,25,3,"905,995","36,239",2010
152,2010.0,7.0,30/7/2010,tel-aviv-area,מאפו 17,,,,"2,002,003",,
153,2010.0,7.0,30/7/2010,tel-aviv-area,מאפו 17,,,,"2,002,000",,
154,2010.0,7.0,30/7/2010,tel-aviv-area,אלנבי 118,5,190,15,"4,075,000","21,447",2010
155,2010.0,7.0,30/7/2010,tel-aviv-area,שדרות רוטשילד 32,,,,"4,075,000",,
156,2010.0,7.0,30/7/2010,tel-aviv-area,מאפו 15,3,78,,"2,002,003","25,666",1955
157,2010.0,7.0,30/7/2010,tel-aviv-area,שד רוטשילד 30,5,190,15,"9,400,000","49,473",2010
158,2010.0,7.0,30/7/2010,tel-aviv-area,מאפו 15,3,78,,"2,002,003","25,666",1955
159,2010.0,7.0,30/7/2010,tel-aviv-area,פלורנטין 2,1.5,25,3,"905,995","36,239",2010
160,2010.0,7.0,30/7/2010,tel-aviv-area,,3,78,,"2,002,003","25,666",1955
161,2010.0,7.0,30/7/2010,tel-aviv-area,,,,,"2,002,003",,
162,2010.0,7.0,30/7/2010,tel-aviv-area,,5,190,,"9,400,000","49,473",2010
163,2010.0,7.0,30/7/2010,tel-aviv-area,,,,,"9,400,000",,
164,2010.0,7.0,30/7/2010,tel-aviv-area,,1.5,25,,"905,995","36,239",2010
165,2010.0,7.0,29/7/2010,tel-aviv-area,תוספתא 12,3,60,2,"1,800,000","30,000",1967
166,2010.0,7.0,29/7/2010,tel-aviv-area,דרך מנחם בגין 158,3,100,14,"1,598,399","15,983",2011
167,2010.0,7.0,29/7/2010,tel-aviv-area,המערכה 23,2.5,57,7,"900,000","15,789",1970
168,2010.0,7.0,29/7/2010,tel-aviv-area,אלוני ניסים 17,4,10,3,"2,820,000",,2010
169,2010.0,7.0,29/7/2010,tel-aviv-area,המערכה 23,2.5,57,6,"700,000","12,280",1970
170,2010.0,7.0,29/7/2010,tel-aviv-area,פינלס 12,,,,"14,166",,
171,2010.0,7.0,29/7/2010,tel-aviv-area,אלעזר החורני 10,3,82,,"2,600,000","31,707",1970
172,2010.0,7.0,29/7/2010,tel-aviv-area,אלכסנדר ינאי 4,1.5,43,,"1,200,000","27,906",1945
173,2010.0,7.0,29/7/2010,tel-aviv-area,פינלס 12,,,,"14,167",,
174,2010.0,7.0,29/7/2010,tel-aviv-area,אלוני ניסים 1,1,10,1,"5,585,526",,2011
175,2010.0,7.0,29/7/2010,tel-aviv-area,ויזל 23,3,65,,"1,925,000","29,615",1965
176,2010.0,7.0,29/7/2010,tel-aviv-area,פינלס 2,2,49,1,"1,700,000","34,693",1950
177,2010.0,7.0,29/7/2010,tel-aviv-area,בושם 87,3,71,,"707,500","9,964",1970
178,2010.0,7.0,28/7/2010,tel-aviv-area,צייטלין 7,2.5,59,3,"1,800,000","30,508",1952
179,2010.0,7.0,28/7/2010,tel-aviv-area,אשרמן 21,,,,"1,058,467",,
180,2010.0,6.0,30/6/2010,tel-aviv-area,שלמה המלך 62,3,65,,"1,970,000","30,307",1985
181,2010.0,6.0,30/6/2010,tel-aviv-area,ויסוצקי 20,4,115,3,"3,168,720","27,554",1970
182,2010.0,6.0,30/6/2010,tel-aviv-area,דרך דיין משה 57,3,49,1,"1,140,000","23,265",1968
183,2010.0,6.0,30/6/2010,tel-aviv-area,דרך משה דיין 57,3,49,1,"1,140,000","23,265",1968
184,2010.0,6.0,30/6/2010,tel-aviv-area,,3,49,,"1,140,000","23,265",1968
185,2010.0,6.0,30/6/2010,tel-aviv-area,,4,115,,"3,168,720","27,554",1970
186,2010.0,6.0,30/6/2010,tel-aviv-area,,3,65,,"1,970,000","30,307",1985
187,2010.0,6.0,30/6/2010,tel-aviv-area,המלך שלמה 62,3,65,,"1,970,000","30,307",1985
188,2010.0,6.0,30/6/2010,tel-aviv-area,ויסוצקי 20,4,115,3,"3,168,720","27,554",1970
189,2010.0,6.0,29/6/2010,tel-aviv-area,נהריים 14,4,72,3,"1,260,000","17,500",1999
190,2010.0,6.0,29/6/2010,tel-aviv-area,מרים החשמונאית 36,3,63,1,"2,100,000","33,333",1962
191,2010.0,6.0,29/6/2010,tel-aviv-area,יהושע בן נון 23,2.5,88,,"1,800,000","20,454",1958
192,2010.0,6.0,29/6/2010,tel-aviv-area,אלוני ניסים 8,5,132,23,"3,300,000","25,000",2010
193,2010.0,6.0,29/6/2010,tel-aviv-area,מיכאל נאמן 8,,,,"9,531,616",,
194,2010.0,6.0,29/6/2010,tel-aviv-area,בן שפרוט 15,2.5,39,3,"1,390,000","35,641",1959
195,2010.0,6.0,29/6/2010,tel-aviv-area,דם המכבים 27,2,55,1,"1,165,000","21,181",1950
196,2010.0,6.0,29/6/2010,tel-aviv-area,אח''י דקר 20,,,,"1,260,000",,
197,2010.0,6.0,29/6/2010,tel-aviv-area,פרישמן 35,,,,"1,660,000",,
198,2010.0,6.0,29/6/2010,tel-aviv-area,שמעון בן עזאי 8,1,40,1,"650,000","16,250",1960
199,2010.0,6.0,29/6/2010,tel-aviv-area,איסרליש 20,2,39,5,"1,220,000","31,282",2010
200,2010.0,6.0,29/6/2010,tel-aviv-area,אשכול לוי 1,4,108,1,"2,300,000","21,296",2009
201,2010.0,6.0,29/6/2010,tel-aviv-area,הוז דב 12,4,88,1,"1,660,000","18,863",1941
202,2010.0,6.0,29/6/2010,tel-aviv-area,רח 3055 4,3,85,2,"1,500,000","17,647",1999
203,2010.0,6.0,29/6/2010,tel-aviv-area,הנביאים 6,2,1,1,"1,660,000",,1954
204,2010.0,6.0,29/6/2010,tel-aviv-area,אשכול לוי 92,4,117,8,"3,420,000","29,230",1998
205,2010.0,6.0,29/6/2010,tel-aviv-area,אליוט ג''ורג'' 18,2,45,3,"1,200,000","26,666",1961
206,2010.0,6.0,29/6/2010,tel-aviv-area,נחלת יצחק 1,5,125,22,"2,707,250","21,658",2010
207,2010.0,6.0,29/6/2010,tel-aviv-area,בורלא יהודה 6,3,82,2,"1,690,000","20,609",1974
208,2010.0,6.0,29/6/2010,tel-aviv-area,"מצודת בית""ר 7",2.5,46,3,"890,000","19,347",1970
209,2010.0,6.0,29/6/2010,tel-aviv-area,בארי 10,3,10,5,"5,150,000",,2011
210,2010.0,5.0,31/5/2010,tel-aviv-area,הזית 5,5,140,,"5,460,000","39,000",1970
211,2010.0,5.0,30/5/2010,tel-aviv-area,אריסטובול 6,1.5,32,1,"880,670","27,520",1962
212,2010.0,5.0,30/5/2010,tel-aviv-area,ארלוזורוב 134,1,22,,"910,000","41,363",1958
213,2010.0,5.0,30/5/2010,tel-aviv-area,ויצמן 50,3,66,2,"1,900,000","28,787",1966
214,2010.0,5.0,30/5/2010,tel-aviv-area,"אצ""ל 89",5,140,1,"1,390,000","9,928",1989
215,2010.0,5.0,30/5/2010,tel-aviv-area,אלוני ניסים 1,4,1,15,"2,900,000",,2009
216,2010.0,5.0,30/5/2010,tel-aviv-area,שטרוק 13,3,65,,"2,225,000","34,230",1957
217,2010.0,5.0,30/5/2010,tel-aviv-area,משה שרת 49,,,,"1,900,000",,
218,2010.0,5.0,30/5/2010,tel-aviv-area,אמסטרדם 14,3,71,8,"2,871,750","40,447",1966
219,2010.0,5.0,29/5/2010,tel-aviv-area,יחזקאל 28,3,65,2,"1,850,000","28,461",1950
220,2010.0,5.0,28/5/2010,tel-aviv-area,רוזנבלום הרצל 10,3,80,,"5,552,050","69,400",1996
221,2010.0,5.0,28/5/2010,tel-aviv-area,אבן גבירול 71,4,162,2,"4,384,205","27,062",1952
222,2010.0,5.0,28/5/2010,tel-aviv-area,גדיש 22,1,30,,"360,000","12,000",1970
223,2010.0,5.0,28/5/2010,tel-aviv-area,הס משה 29,3,65,5,"2,350,000","36,153",1970
224,2010.0,5.0,28/5/2010,tel-aviv-area,פיקוס 4,2.5,65,2,"500,000","7,692",1970
225,2010.0,5.0,28/5/2010,tel-aviv-area,אשכול לוי 16,4,125,7,"3,738,796","29,910",2010
226,2010.0,5.0,28/5/2010,tel-aviv-area,מאוריציו ויטלה 38,,,,"3,738,796",,
227,2010.0,5.0,28/5/2010,tel-aviv-area,מעפילי אגוז 69,3,61,3,"865,000","14,180",1984
228,2010.0,5.0,28/5/2010,tel-aviv-area,בלקינד 3,4,135,6,"3,200,000","23,703",1975
229,2010.0,5.0,28/5/2010,tel-aviv-area,מעפילי אגוז 69,3,61,3,"865,000","14,180",1984
230,2010.0,5.0,28/5/2010,tel-aviv-area,,3,61,,"865,000","14,180",1984
231,2010.0,5.0,28/5/2010,tel-aviv-area,,4,125,,"3,738,796","29,910",2010
232,2010.0,5.0,28/5/2010,tel-aviv-area,שד ירושלים 200,2.5,65,2,"500,000","7,692",1970
233,2010.0,5.0,28/5/2010,tel-aviv-area,שניאור זלמן 2,3,65,5,"2,350,000","36,153",1970
234,2010.0,5.0,28/5/2010,tel-aviv-area,אב 1,4,125,7,"3,738,796","29,910",2010
235,2010.0,5.0,28/5/2010,tel-aviv-area,הדסה 6,4,162,2,"4,384,205","27,062",1952
236,2010.0,5.0,28/5/2010,tel-aviv-area,,4,162,,"4,384,205","27,062",1952
237,2010.0,5.0,28/5/2010,tel-aviv-area,,,,,"3,738,796",,
238,2010.0,5.0,28/5/2010,tel-aviv-area,,3,80,,"5,552,050","69,400",1996
239,2010.0,5.0,28/5/2010,tel-aviv-area,,3,80,,"5,552,050","69,400",1996
240,2010.0,4.0,30/4/2010,tel-aviv-area,בן יהודה 248,2,43,3,"1,440,000","33,488",1967
241,2010.0,4.0,30/4/2010,tel-aviv-area,חריף אייזיק 28,4,80,2,"700,000","8,750",1970
242,2010.0,4.0,30/4/2010,tel-aviv-area,המכבי 13,3,66,1,"1,480,000","22,424",1930
243,2010.0,4.0,30/4/2010,tel-aviv-area,הארבעה 30,4,90,19,"3,400,000","37,777",2013
244,2010.0,4.0,30/4/2010,tel-aviv-area,רבינא 17,5,112,9,"5,250,000","46,875",1999
245,2010.0,4.0,30/4/2010,tel-aviv-area,רוממה 12,4,99,,"2,675,000","27,020",1980
246,2010.0,4.0,30/4/2010,tel-aviv-area,רבינא 15,,,,"5,250,000",,
247,2010.0,4.0,30/4/2010,tel-aviv-area,בן יהודה 248,2,43,3,"1,440,000","33,488",1967
248,2010.0,4.0,30/4/2010,tel-aviv-area,,2,43,,"1,440,000","33,488",1967
249,2010.0,4.0,30/4/2010,tel-aviv-area,המכבי 13,3,66,1,"1,480,000","22,424",1930
250,2010.0,4.0,30/4/2010,tel-aviv-area,,5,112,,"5,250,000","46,875",1999
251,2010.0,4.0,30/4/2010,tel-aviv-area,סהרון 28,4,80,2,"700,000","8,750",1970
252,2010.0,4.0,30/4/2010,tel-aviv-area,,,,,"5,250,000",,
253,2010.0,4.0,30/4/2010,tel-aviv-area,הארבעה 30,4,90,19,"3,400,000","37,777",2013
254,2010.0,4.0,30/4/2010,tel-aviv-area,רוממה 12,4,99,,"2,675,000","27,020",1980
255,2010.0,4.0,30/4/2010,tel-aviv-area,,4,80,,"700,000","8,750",1970
256,2010.0,4.0,30/4/2010,tel-aviv-area,רבינא 17,5,112,9,"5,250,000","46,875",1999
257,2010.0,4.0,30/4/2010,tel-aviv-area,,4,90,,"3,400,000","37,777",2013
