,DealYear,DealMonth,Date,Area,Address,Rooms,Surface,Floor,Price,PPSQM,BuildYear
40,2010,11,29/11/2010,tel-aviv-area,הר נבו 1,3,65,1,"1,700,000","26,153",1961
41,2010,11,29/11/2010,tel-aviv-area,"ש""ץ 11",2,55,1,"1,620,000","29,454",1960
42,2010,11,28/11/2010,tel-aviv-area,יוחנן הגדי 5,2,10,2,"1,365,000","136,500",1951
43,2010,11,28/11/2010,tel-aviv-area,הלסינקי 25,2,41,1,"1,475,000","35,975",1949
44,2010,11,28/11/2010,tel-aviv-area,אבן גבירול 61,3.5,84,,"1,504,010","17,904",1960
45,2010,11,28/11/2010,tel-aviv-area,,2,41,,"1,475,000","35,975",1949
46,2010,11,28/11/2010,tel-aviv-area,אבן גבירול 61,3.5,84,,"1,504,010","17,904",1960
47,2010,11,28/11/2010,tel-aviv-area,יוחנן הגדי 5,2,10,2,"1,365,000","136,500",1951
48,2010,11,28/11/2010,tel-aviv-area,זבוטינסקי 140,2,41,1,"1,475,000","35,975",1949
49,2010,11,28/11/2010,tel-aviv-area,,3.5,84,,"1,504,010","17,904",1960
50,2010,11,28/11/2010,tel-aviv-area,,2,10,,"1,365,000","136,500",1951
51,2010,11,26/11/2010,tel-aviv-area,עמק ברכה 29,5,120,,"4,663,476","38,862",2012
52,2010,11,26/11/2010,tel-aviv-area,זימן 13,4,90,3,"1,830,000","20,333",1970
53,2010,11,26/11/2010,tel-aviv-area,סהרון 4,3.5,65,,"800,000","12,307",1960
54,2010,11,26/11/2010,tel-aviv-area,"אצ""ל 22",4,73,1,"700,000","9,589",1970
55,2010,11,26/11/2010,tel-aviv-area,פאת השולחן 16,4,90,3,"1,830,000","20,333",1970
56,2010,11,26/11/2010,tel-aviv-area,ברודצקי 13,5,120,,"3,028,000","25,233",1960
57,2010,11,26/11/2010,tel-aviv-area,שינקין 49,3,55,,"1,995,650","36,284",1999
58,2010,11,25/11/2010,tel-aviv-area,קהילת ברזיל 2,3,72,3,"970,000","13,472",1986
59,2010,11,25/11/2010,tel-aviv-area,הא באייר 32,4,97,1,"2,810,000","28,969",1991
60,2010,10,31/10/2010,tel-aviv-area,ויזל 8,3,44,3,"1,795,000","40,795",1956
61,2010,10,31/10/2010,tel-aviv-area,דרך מנחם בגין 158,3,75,14,"1,630,006","21,733",2011
62,2010,10,31/10/2010,tel-aviv-area,שד בן גוריון 77,2,57,4,"2,360,000","41,403",1949
63,2010,10,31/10/2010,tel-aviv-area,אלוני ניסים 6,5,10,32,"3,447,612",,2002
64,2010,10,31/10/2010,tel-aviv-area,בילטמור 13,3.5,61,1,"2,475,000","40,573",1955
65,2010,10,29/10/2010,tel-aviv-area,מרכז בעלי מלאכה 23,3,70,,"1,800,000","25,714",2005
66,2010,10,29/10/2010,tel-aviv-area,החשמונאים 1,4,100,5,"2,217,200","22,172",2012
67,2010,10,29/10/2010,tel-aviv-area,אלמוג דוד 7,4,96,6,"605,000","6,302",1961
68,2010,10,29/10/2010,tel-aviv-area,וייס יעקב 4,5,125,10,"3,383,384","27,067",1999
69,2010,10,29/10/2010,tel-aviv-area,,4,96,,"605,000","6,302",1961
70,2010,10,29/10/2010,tel-aviv-area,,5,125,,"3,383,384","27,067",1999
71,2010,10,29/10/2010,tel-aviv-area,חכים אליהו 4,5,125,10,"3,383,384","27,067",1999
72,2010,10,29/10/2010,tel-aviv-area,אסירי ציון 7,4,96,6,"605,000","6,302",1961
73,2010,10,29/10/2010,tel-aviv-area,,4,100,,"2,217,200","22,172",2012
74,2010,10,29/10/2010,tel-aviv-area,החשמונאים 1,4,100,5,"2,217,200","22,172",2012
75,2010,10,29/10/2010,tel-aviv-area,,3,70,,"1,800,000","25,714",2005
76,2010,10,29/10/2010,tel-aviv-area,סלע יעקב 13,3.5,72,7,"1,000,000","13,888",1970
77,2010,10,28/10/2010,tel-aviv-area,דרך מנחם בגין 158,3,75,28,"1,857,900","24,772",2011
78,2010,10,28/10/2010,tel-aviv-area,אלוני ניסים 1,1,10,24,"4,438,000",,2011
79,2010,10,28/10/2010,tel-aviv-area,שד בן גוריון 72,2,50,2,"1,530,000","30,600",1970
80,2010,10,28/10/2010,tel-aviv-area,דרך מנחם בגין 158,3,75,16,"1,577,013","21,026",2011
81,2010,10,28/10/2010,tel-aviv-area,דרך מנחם בגין 158,3,75,27,"1,840,300","24,537",2011
82,2010,10,28/10/2010,tel-aviv-area,פישמן מימון 5,4,108,7,"3,645,000","33,750",1999
83,2010,10,28/10/2010,tel-aviv-area,דרך מנחם בגין 158,3,75,22,"1,764,488","23,526",2011
84,2010,10,28/10/2010,tel-aviv-area,דה וינצ''י לאונרדו 18,4,90,3,"3,000,000","33,333",1957
85,2010,10,28/10/2010,tel-aviv-area,יהודה המכבי 30,2.5,49,1,"1,650,000","33,673",1950
86,2010,10,28/10/2010,tel-aviv-area,דרך השלום 139,3,48,4,"1,000,000","20,833",1970
87,2010,10,28/10/2010,tel-aviv-area,דרך הגבורה 71,3,75,2,"1,020,000","13,600",1935
88,2010,10,28/10/2010,tel-aviv-area,דה וינצ''י לאונרדו 18,4,81,1,"2,665,000","32,901",1957
89,2010,10,27/10/2010,tel-aviv-area,פומבדיתא 14,3.5,75,3,"1,935,905","25,812",1970
90,2010,9,29/09/2010,tel-aviv-area,אוליפנט 3,3,86,3,"1,950,000","22,674",1970
91,2010,9,29/09/2010,tel-aviv-area,יערי מאיר 2,4,171,,"5,600,000","32,748",2007
92,2010,9,29/09/2010,tel-aviv-area,גדיש 22,2,28,,"290,000","10,357",1950
93,2010,9,28/09/2010,tel-aviv-area,ריינס 31,2,61,1,"1,480,000","24,262",1954
94,2010,9,28/09/2010,tel-aviv-area,חכמי אתונה 91,2,40,4,"465,000","11,625",1947
95,2010,9,28/09/2010,tel-aviv-area,אדם הכהן 3,4,130,3,"4,950,000","38,076",1999
96,2010,9,28/09/2010,tel-aviv-area,ברגסון 3,3,68,8,"2,275,000","33,455",1970
97,2010,9,28/09/2010,tel-aviv-area,כורש 11,2,48,1,"1,050,000","21,875",1951
98,2010,9,28/09/2010,tel-aviv-area,מאנה 24,3.5,106,3,"2,094,000","19,754",1992
99,2010,9,28/09/2010,tel-aviv-area,יעל 8,1,27,,"1,075,000","39,814",1945
100,2010,9,28/09/2010,tel-aviv-area,אלנבי 73,3,63,6,"1,810,000","28,730",2000
101,2010,9,28/09/2010,tel-aviv-area,דרך הטייסים 72,3.5,70,4,"900,000","12,857",1970
102,2010,9,28/09/2010,tel-aviv-area,יערי מאיר 23,4,100,4,"2,350,000","23,500",1999
103,2010,9,28/09/2010,tel-aviv-area,יהודה הימית 35,2,50,1,"875,000","17,500",2012
104,2010,9,28/09/2010,tel-aviv-area,חריף אייזיק 185,2,57,3,"450,000","7,894",1970
105,2010,9,28/09/2010,tel-aviv-area,הרב צירלסון 3,4,75,1,"4,300,000","57,333",2005
106,2010,9,28/09/2010,tel-aviv-area,,3,68,,"2,275,000","33,455",1970
107,2010,9,28/09/2010,tel-aviv-area,,2,40,,"465,000","11,625",1947
108,2010,9,28/09/2010,tel-aviv-area,,2,50,,"875,000","17,500",2012
109,2010,9,28/09/2010,tel-aviv-area,שולמית 8,1,27,,"1,075,000","39,814",1945
110,2010,9,28/09/2010,tel-aviv-area,ברגסון 3,3,68,8,"2,275,000","33,455",1970
111,2010,9,28/09/2010,tel-aviv-area,אדם הכהן 3,4,130,3,"4,950,000","38,076",1999
112,2010,9,28/09/2010,tel-aviv-area,מעפילי אגוז 72,3.5,70,4,"900,000","12,857",1970
113,2010,9,28/09/2010,tel-aviv-area,יפת 185,2,57,3,"450,000","7,894",1970
114,2010,9,28/09/2010,tel-aviv-area,אלנבי 73,3,63,6,"1,810,000","28,730",2000
115,2010,9,28/09/2010,tel-aviv-area,,3.5,70,,"900,000","12,857",1970
116,2010,9,28/09/2010,tel-aviv-area,כורש 11,2,48,1,"1,050,000","21,875",1951
117,2010,9,28/09/2010,tel-aviv-area,,2,57,,"450,000","7,894",1970
118,2010,9,28/09/2010,tel-aviv-area,,3,63,,"1,810,000","28,730",2000
119,2010,9,28/09/2010,tel-aviv-area,יערי מאיר 23,4,100,4,"2,350,000","23,500",1999
120,2010,8,31/08/2010,tel-aviv-area,אלוני ניסים 1,1,10,25,"4,900,000",,2011
121,2010,8,31/08/2010,tel-aviv-area,דרך ההגנה 130,3.5,72,10,"1,220,000","16,944",1990
122,2010,8,31/08/2010,tel-aviv-area,ז''בוטינסקי 114,4,80,4,"3,500,000","43,750",1957
123,2010,8,31/08/2010,tel-aviv-area,דרך מנחם בגין 158,2,80,16,"1,265,000","15,812",2011
124,2010,8,31/08/2010,tel-aviv-area,הרב הרצוג 7,3,61,3,"1,730,000","28,360",1966
125,2010,8,31/08/2010,tel-aviv-area,שד דוד המלך 11,1,21,1,"690,000","32,857",1955
126,2010,8,30/08/2010,tel-aviv-area,ויזל 21,1,40,,"1,000,000","25,000",1970
127,2010,8,30/08/2010,tel-aviv-area,ארלוזורוב 69,2,40,,"1,335,000","33,375",1950
128,2010,8,30/08/2010,tel-aviv-area,אלוני ניסים  12,4,100,14,"3,764,380","37,643",2011
129,2010,8,30/08/2010,tel-aviv-area,ברנדיס 1,2,55,3,"1,550,000","28,181",1970
130,2010,8,30/08/2010,tel-aviv-area,דם המכבים 39,2,28,2,"1,000,000","35,714",1955
131,2010,8,30/08/2010,tel-aviv-area,דרך מנחם בגין 158,4,100,34,"2,200,000","22,000",2011
132,2010,8,30/08/2010,tel-aviv-area,דוליצקי 1,2.5,62,2,"1,750,000","28,225",1952
133,2010,8,29/08/2010,tel-aviv-area,אמסטרדם 26,2.5,61,1,"1,800,000","29,508",1960
134,2010,8,29/08/2010,tel-aviv-area,אבן גבירול 77,3.5,70,3,"1,540,000","22,000",1961
135,2010,8,29/08/2010,tel-aviv-area,דרך השלום 131,3,48,3,"1,065,000","22,187",1959
136,2010,8,29/08/2010,tel-aviv-area,דרך מנחם בגין 158,3,75,32,"1,892,000","25,226",2011
137,2010,8,29/08/2010,tel-aviv-area,אנטוקולסקי 1,3,97,3,"3,428,638","35,346",2011
138,2010,8,27/08/2010,tel-aviv-area,בילויה מעוז 6,4,100,3,"2,550,000","25,500",2005
139,2010,8,27/08/2010,tel-aviv-area,דיזנגוף 239,2,47,1,"1,550,000","32,978",1942
140,2010,8,27/08/2010,tel-aviv-area,מהרל 1,5,87,3,"4,400,000","50,574",1970
141,2010,8,26/08/2010,tel-aviv-area,אלוני ניסים 1,5,137,2,"2,670,000","19,489",2009
142,2010,8,26/08/2010,tel-aviv-area,"אצ""ל 23",2,47,,"380,000","8,085",1950
143,2010,8,26/08/2010,tel-aviv-area,דרך מנחם בגין 158,3,100,11,"1,540,000","15,400",2011
144,2010,8,26/08/2010,tel-aviv-area,דרך נמיר מרדכי 2,4,87,3,"2,300,000","26,436",1958
145,2010,8,26/08/2010,tel-aviv-area,דרך נמיר מרדכי 87,3,75,6,"1,750,000","23,333",1970
146,2010,8,26/08/2010,tel-aviv-area,ארלוזורוב 12,5,109,13,"2,650,000","24,311",1988
147,2010,8,26/08/2010,tel-aviv-area,קליי 9,3,62,3,"2,100,000","33,870",1972
148,2010,8,25/08/2010,tel-aviv-area,יהודה הימית 16,2,50,2,"1,000,000","20,000",2010
149,2010,8,25/08/2010,tel-aviv-area,דרך שלמה 1,2,50,4,"1,040,000","20,800",2011
150,2010,7,31/07/2010,tel-aviv-area,סלע יעקב 1,3,80,2,"1,150,000","14,375",1970
151,2010,7,30/07/2010,tel-aviv-area,פלורנטין 2,1.5,25,3,"905,995","36,239",2010
152,2010,7,30/07/2010,tel-aviv-area,אלנבי 118,5,190,15,"4,075,000","21,447",2010
153,2010,7,30/07/2010,tel-aviv-area,מאפו 15,3,78,,"2,002,003","25,666",1955
154,2010,7,30/07/2010,tel-aviv-area,שד רוטשילד 30,5,190,15,"9,400,000","49,473",2010
155,2010,7,30/07/2010,tel-aviv-area,מאפו 15,3,78,,"2,002,003","25,666",1955
156,2010,7,30/07/2010,tel-aviv-area,פלורנטין 2,1.5,25,3,"905,995","36,239",2010
157,2010,7,30/07/2010,tel-aviv-area,,3,78,,"2,002,003","25,666",1955
158,2010,7,30/07/2010,tel-aviv-area,,5,190,,"9,400,000","49,473",2010
159,2010,7,30/07/2010,tel-aviv-area,,1.5,25,,"905,995","36,239",2010
160,2010,7,29/07/2010,tel-aviv-area,תוספתא 12,3,60,2,"1,800,000","30,000",1967
161,2010,7,29/07/2010,tel-aviv-area,דרך מנחם בגין 158,3,100,14,"1,598,399","15,983",2011
162,2010,7,29/07/2010,tel-aviv-area,המערכה 23,2.5,57,7,"900,000","15,789",1970
163,2010,7,29/07/2010,tel-aviv-area,אלוני ניסים 17,4,10,3,"2,820,000",,2010
164,2010,7,29/07/2010,tel-aviv-area,המערכה 23,2.5,57,6,"700,000","12,280",1970
165,2010,7,29/07/2010,tel-aviv-area,אלעזר החורני 10,3,82,,"2,600,000","31,707",1970
166,2010,7,29/07/2010,tel-aviv-area,אלכסנדר ינאי 4,1.5,43,,"1,200,000","27,906",1945
167,2010,7,29/07/2010,tel-aviv-area,אלוני ניסים 1,1,10,1,"5,585,526",,2011
168,2010,7,29/07/2010,tel-aviv-area,ויזל 23,3,65,,"1,925,000","29,615",1965
169,2010,7,29/07/2010,tel-aviv-area,פינלס 2,2,49,1,"1,700,000","34,693",1950
170,2010,7,29/07/2010,tel-aviv-area,בושם 87,3,71,,"707,500","9,964",1970
171,2010,7,28/07/2010,tel-aviv-area,צייטלין 7,2.5,59,3,"1,800,000","30,508",1952
172,2010,7,28/07/2010,tel-aviv-area,אלוני ניסים 6,5,132,33,"3,614,750","27,384",2010
173,2010,7,28/07/2010,tel-aviv-area,אשרמן יוסף 17,3,46,2,"1,050,000","22,826",1960
174,2010,7,27/07/2010,tel-aviv-area,דרך השלום 81,2.5,50,,"890,000","17,800",1960
175,2010,7,27/07/2010,tel-aviv-area,בחור אליהו 4,2.5,10,1,"1,650,000",,1959
176,2010,7,27/07/2010,tel-aviv-area,,2.5,10,,"1,650,000",,1959
177,2010,7,27/07/2010,tel-aviv-area,בחור אליהו 4,2.5,10,1,"1,650,000",,1959
178,2010,7,26/07/2010,tel-aviv-area,שמעון התרסי 36,2,45,2,"1,490,000","33,111",1970
179,2010,7,26/07/2010,tel-aviv-area,ארבע ארצות 7,4,85,1,"2,700,000","31,764",1959
180,2010,6,30/06/2010,tel-aviv-area,שלמה המלך 62,3,65,,"1,970,000","30,307",1985
181,2010,6,30/06/2010,tel-aviv-area,ויסוצקי 20,4,115,3,"3,168,720","27,554",1970
182,2010,6,30/06/2010,tel-aviv-area,דרך דיין משה 57,3,49,1,"1,140,000","23,265",1968
183,2010,6,30/06/2010,tel-aviv-area,דרך משה דיין 57,3,49,1,"1,140,000","23,265",1968
184,2010,6,30/06/2010,tel-aviv-area,,3,49,,"1,140,000","23,265",1968
185,2010,6,30/06/2010,tel-aviv-area,,4,115,,"3,168,720","27,554",1970
186,2010,6,30/06/2010,tel-aviv-area,,3,65,,"1,970,000","30,307",1985
187,2010,6,30/06/2010,tel-aviv-area,המלך שלמה 62,3,65,,"1,970,000","30,307",1985
188,2010,6,30/06/2010,tel-aviv-area,ויסוצקי 20,4,115,3,"3,168,720","27,554",1970
189,2010,6,29/06/2010,tel-aviv-area,נהריים 14,4,72,3,"1,260,000","17,500",1999
190,2010,6,29/06/2010,tel-aviv-area,מרים החשמונאית 36,3,63,1,"2,100,000","33,333",1962
191,2010,6,29/06/2010,tel-aviv-area,יהושע בן נון 23,2.5,88,,"1,800,000","20,454",1958
192,2010,6,29/06/2010,tel-aviv-area,אלוני ניסים 8,5,132,23,"3,300,000","25,000",2010
193,2010,6,29/06/2010,tel-aviv-area,בן שפרוט 15,2.5,39,3,"1,390,000","35,641",1959
194,2010,6,29/06/2010,tel-aviv-area,דם המכבים 27,2,55,1,"1,165,000","21,181",1950
195,2010,6,29/06/2010,tel-aviv-area,שמעון בן עזאי 8,1,40,1,"650,000","16,250",1960
196,2010,6,29/06/2010,tel-aviv-area,איסרליש 20,2,39,5,"1,220,000","31,282",2010
197,2010,6,29/06/2010,tel-aviv-area,אשכול לוי 1,4,108,1,"2,300,000","21,296",2009
198,2010,6,29/06/2010,tel-aviv-area,הוז דב 12,4,88,1,"1,660,000","18,863",1941
199,2010,6,29/06/2010,tel-aviv-area,רח 3055 4,3,85,2,"1,500,000","17,647",1999
200,2010,6,29/06/2010,tel-aviv-area,הנביאים 6,2,1,1,"1,660,000",,1954
201,2010,6,29/06/2010,tel-aviv-area,אשכול לוי 92,4,117,8,"3,420,000","29,230",1998
202,2010,6,29/06/2010,tel-aviv-area,אליוט ג''ורג'' 18,2,45,3,"1,200,000","26,666",1961
203,2010,6,29/06/2010,tel-aviv-area,נחלת יצחק 1,5,125,22,"2,707,250","21,658",2010
204,2010,6,29/06/2010,tel-aviv-area,בורלא יהודה 6,3,82,2,"1,690,000","20,609",1974
205,2010,6,29/06/2010,tel-aviv-area,"מצודת בית""ר 7",2.5,46,3,"890,000","19,347",1970
206,2010,6,29/06/2010,tel-aviv-area,בארי 10,3,10,5,"5,150,000",,2011
207,2010,6,29/06/2010,tel-aviv-area,דרך נמיר מרדכי 88,5.5,158,21,"4,150,000","26,265",2011
208,2010,6,29/06/2010,tel-aviv-area,פינלס 8,3,53,2,"1,775,000","33,490",1956
209,2010,6,29/06/2010,tel-aviv-area,שד נורדאו 70,3,75,1,"2,040,000","27,200",1999
210,2010,5,31/05/2010,tel-aviv-area,הזית 5,5,140,,"5,460,000","39,000",1970
211,2010,5,30/05/2010,tel-aviv-area,אריסטובול 6,1.5,32,1,"880,670","27,520",1962
212,2010,5,30/05/2010,tel-aviv-area,ארלוזורוב 134,1,22,,"910,000","41,363",1958
213,2010,5,30/05/2010,tel-aviv-area,ויצמן 50,3,66,2,"1,900,000","28,787",1966
214,2010,5,30/05/2010,tel-aviv-area,"אצ""ל 89",5,140,1,"1,390,000","9,928",1989
215,2010,5,30/05/2010,tel-aviv-area,אלוני ניסים 1,4,1,15,"2,900,000",,2009
216,2010,5,30/05/2010,tel-aviv-area,שטרוק 13,3,65,,"2,225,000","34,230",1957
217,2010,5,30/05/2010,tel-aviv-area,אמסטרדם 14,3,71,8,"2,871,750","40,447",1966
218,2010,5,29/05/2010,tel-aviv-area,יחזקאל 28,3,65,2,"1,850,000","28,461",1950
219,2010,5,28/05/2010,tel-aviv-area,רוזנבלום הרצל 10,3,80,,"5,552,050","69,400",1996
220,2010,5,28/05/2010,tel-aviv-area,אבן גבירול 71,4,162,2,"4,384,205","27,062",1952
221,2010,5,28/05/2010,tel-aviv-area,גדיש 22,1,30,,"360,000","12,000",1970
222,2010,5,28/05/2010,tel-aviv-area,הס משה 29,3,65,5,"2,350,000","36,153",1970
223,2010,5,28/05/2010,tel-aviv-area,פיקוס 4,2.5,65,2,"500,000","7,692",1970
224,2010,5,28/05/2010,tel-aviv-area,אשכול לוי 16,4,125,7,"3,738,796","29,910",2010
225,2010,5,28/05/2010,tel-aviv-area,מעפילי אגוז 69,3,61,3,"865,000","14,180",1984
226,2010,5,28/05/2010,tel-aviv-area,בלקינד 3,4,135,6,"3,200,000","23,703",1975
227,2010,5,28/05/2010,tel-aviv-area,מעפילי אגוז 69,3,61,3,"865,000","14,180",1984
228,2010,5,28/05/2010,tel-aviv-area,,3,61,,"865,000","14,180",1984
229,2010,5,28/05/2010,tel-aviv-area,,4,125,,"3,738,796","29,910",2010
230,2010,5,28/05/2010,tel-aviv-area,שד ירושלים 200,2.5,65,2,"500,000","7,692",1970
231,2010,5,28/05/2010,tel-aviv-area,שניאור זלמן 2,3,65,5,"2,350,000","36,153",1970
232,2010,5,28/05/2010,tel-aviv-area,אב 1,4,125,7,"3,738,796","29,910",2010
233,2010,5,28/05/2010,tel-aviv-area,הדסה 6,4,162,2,"4,384,205","27,062",1952
234,2010,5,28/05/2010,tel-aviv-area,,4,162,,"4,384,205","27,062",1952
235,2010,5,28/05/2010,tel-aviv-area,,3,80,,"5,552,050","69,400",1996
236,2010,5,28/05/2010,tel-aviv-area,,3,80,,"5,552,050","69,400",1996
237,2010,5,28/05/2010,tel-aviv-area,,2.5,65,,"500,000","7,692",1970
238,2010,5,28/05/2010,tel-aviv-area,,3,65,,"2,350,000","36,153",1970
239,2010,5,27/05/2010,tel-aviv-area,הר נבו 2,2,10,1,"1,401,402","140,140",1956
240,2010,4,30/04/2010,tel-aviv-area,בן יהודה 248,2,43,3,"1,440,000","33,488",1967
241,2010,4,30/04/2010,tel-aviv-area,חריף אייזיק 28,4,80,2,"700,000","8,750",1970
242,2010,4,30/04/2010,tel-aviv-area,המכבי 13,3,66,1,"1,480,000","22,424",1930
243,2010,4,30/04/2010,tel-aviv-area,הארבעה 30,4,90,19,"3,400,000","37,777",2013
244,2010,4,30/04/2010,tel-aviv-area,רבינא 17,5,112,9,"5,250,000","46,875",1999
245,2010,4,30/04/2010,tel-aviv-area,רוממה 12,4,99,,"2,675,000","27,020",1980
246,2010,4,30/04/2010,tel-aviv-area,בן יהודה 248,2,43,3,"1,440,000","33,488",1967
247,2010,4,30/04/2010,tel-aviv-area,,2,43,,"1,440,000","33,488",1967
248,2010,4,30/04/2010,tel-aviv-area,המכבי 13,3,66,1,"1,480,000","22,424",1930
249,2010,4,30/04/2010,tel-aviv-area,,5,112,,"5,250,000","46,875",1999
250,2010,4,30/04/2010,tel-aviv-area,סהרון 28,4,80,2,"700,000","8,750",1970
251,2010,4,30/04/2010,tel-aviv-area,הארבעה 30,4,90,19,"3,400,000","37,777",2013
252,2010,4,30/04/2010,tel-aviv-area,רוממה 12,4,99,,"2,675,000","27,020",1980
253,2010,4,30/04/2010,tel-aviv-area,,4,80,,"700,000","8,750",1970
254,2010,4,30/04/2010,tel-aviv-area,רבינא 17,5,112,9,"5,250,000","46,875",1999
255,2010,4,30/04/2010,tel-aviv-area,,4,90,,"3,400,000","37,777",2013
256,2010,4,30/04/2010,tel-aviv-area,,4,99,,"2,675,000","27,020",1980
257,2010,4,30/04/2010,tel-aviv-area,,3,66,,"1,480,000","22,424",1930
258,2010,4,29/04/2010,tel-aviv-area,דרך נמיר מרדכי 133,3.5,90,3,"1,885,000","20,944",2005
259,2010,4,29/04/2010,tel-aviv-area,ברנפלד שמעון 92,3,50,1,"770,000","15,400",1956
260,2010,4,29/04/2010,tel-aviv-area,פעמוני יוסף 10,4,107,3,"2,900,000","27,102",1991
261,2010,4,29/04/2010,tel-aviv-area,אמסטרדם 24,2,60,,"1,660,000","27,666",2000
262,2010,4,29/04/2010,tel-aviv-area,הרב צירלסון 20,2.5,45,2,"1,486,486","33,033",1970
263,2010,4,29/04/2010,tel-aviv-area,קורדובה 5,3.5,78,2,"2,400,000","30,769",1980
264,2010,4,28/04/2010,tel-aviv-area,עמנואל הרומי 4,1.5,34,,"700,000","20,588",1950
265,2010,4,28/04/2010,tel-aviv-area,כסלו 21,4,98,1,"522,102","5,327",2006
266,2010,4,28/04/2010,tel-aviv-area,אבן גבירול 190,3,70,1,"1,980,000","28,285",1956
267,2010,4,28/04/2010,tel-aviv-area,הזוהר 4,3,75,4,"1,960,000","26,133",1975
268,2010,4,27/04/2010,tel-aviv-area,"אצ""ל 40",1,14,,"100,000","7,142",1950
269,2010,4,27/04/2010,tel-aviv-area,ארבע ארצות 27,3,79,3,"1,885,000","23,860",1950
270,2010,3,31/03/2010,tel-aviv-area,צמחי היהודים 4,6,140,,"3,450,000","24,642",1990
271,2010,3,31/03/2010,tel-aviv-area,נחמני 63,1,12,,"74,375","6,197",1950
272,2010,3,31/03/2010,tel-aviv-area,עמק ברכה 29,5,120,3,"2,330,000","19,416",2010
